Circumferential extent,Radial extent,Texture area density,Depth ratio,Load carrying capacity
0,0,0,0,0.08943256
0.2,0.2,0.390625,0.666666667,0.104341522
0.6,0.6,0.390625,1,0.200407093
0.4,0.4,0.390625,1.333333333,0.177207105
0.8,0.8,0.390625,0.666666667,0.162026733
1,1,0.390625,1,0.093326214
0.4,0.6,0.390625,1.333333333,0.2018635
0.6,0.8,0.390625,0.666666667,0.168305136
1,0.6,0.390625,1,0.112523147
0.8,0.4,0.390625,1.333333333,0.239047232
0.2,0.4,0.390625,0.666666667,0.116556629
0.6,0.4,0.390625,1,0.176210391
0.6,0.2,0.390625,1.333333333,0.161749495
0.6,1,0.390625,0.666666667,0.155667425
0.8,0.6,0.390625,1,0.20556327
0.8,1,0.390625,1.333333333,0.242675494
0.8,0.2,0.390625,0.666666667,0.118943859
0.4,0.8,0.390625,1,0.182946006
0.4,0.2,0.390625,1.333333333,0.140014687
0.4,1,0.390625,0.666666667,0.150911613
0.2,0.4,0.390625,1.333333333,0.133076159
0.2,0.6,0.390625,1,0.136480978
0.2,0.8,0.390625,1.333333333,0.154933502
0.2,1,0.390625,0.666666667,0.131371933
0.4,0.2,0.390625,1,0.126285168
0.4,1,0.390625,1.333333333,0.198367318
0.8,0.6,0.390625,0.666666667,0.15996273
0.8,1,0.390625,1,0.17866345
0.6,1,0.390625,1.333333333,0.228694657
0.6,0.2,0.390625,0.666666667,0.120418361
0.6,0.8,0.390625,1.333333333,0.259360389
0.6,0.4,0.25,1,0.143299505
0.4,0.2,0.25,1.333333333,0.120242908
0.8,0.6,0.25,0.666666667,0.133352161
0.8,0.4,0.25,1,0.144889291
0.2,0.8,0.25,1.333333333,0.134707824
0.6,0.2,0.25,0.666666667,0.108483814
0.4,0.6,0.25,1,0.144220742
0.8,1,0.25,1.333333333,0.19700495
0.6,0.8,0.25,0.666666667,0.140532856
0.6,1,0.25,1,0.157354442
0.6,0.6,0.25,1.333333333,0.190142283
0.8,0.2,0.25,0.666666667,0.107418321
0.8,0.8,0.25,1,0.164958536
0.4,0.8,0.25,1.333333333,0.171059196
0.4,0.4,0.25,0.666666667,0.118924634
0.4,1,0.25,1,0.147885549
0.2,0.4,0.25,1.333333333,0.118717134
0.2,0.6,0.25,0.666666667,0.113346059
0.2,1,0.25,1,0.127029126
0.6,0.6,0.25,1,0.159245267
0.4,0.4,0.25,1.333333333,0.145246987
0.6,0.6,0.25,0.666666667,0.13620274
0.4,0.8,0.25,1,0.151074603
0.6,0.6,0.25,1.333333333,0.190142283
0.8,0.8,0.25,0.666666667,0.135762846
0.8,1,0.25,1,0.153684319
0.8,0.8,0.25,1.333333333,0.212476684
0.4,1,0.25,0.666666667,0.131764431
0.6,0.8,0.25,1,0.165260719
0.6,0.8,0.25,1.333333333,0.199105119
0.4,0.4,0.5625,1.333333333,0.224982568
0.6,0.6,0.5625,0.666666667,0.201978066
0.8,0.8,0.5625,1,0.274525044
0.2,0.2,0.5625,1.333333333,0.128247225
0.8,0.6,0.5625,0.666666667,0.199366967
0.4,0.4,0.5625,1,0.190681613
0.2,0.4,0.5625,1.333333333,0.152035627
0.2,0.4,0.5625,0.666666667,0.128550288
0.4,0.8,0.5625,1,0.226956132
0.8,0.6,0.5625,1.333333333,0.401871034
0.4,1,0.5625,0.666666667,0.172492811
0.4,0.6,0.5625,1,0.21791546
0.4,0.2,0.5625,1.333333333,0.172078053
0.6,0.8,0.5625,0.666666667,0.206332227
0.6,0.4,0.5625,1,0.227538758
0.6,1,0.5625,1.333333333,0.267294441
0.6,1,0.5625,0.666666667,0.177576051
0.8,0.4,0.5625,1,0.238839199
0.8,1,0.5625,1.333333333,0.28716253
0.8,0.2,0.5625,0.666666667,0.141978078
0.8,0.6,0.5625,1,0.276840788
0.4,0.4,0.5625,1.333333333,0.224982568
0.4,0.4,0.5625,0.666666667,0.159158611
0.6,0.8,0.5625,1,0.266301098
0.6,0.8,0.5625,1.333333333,0.348954182
0.8,0.8,0.5625,0.666666667,0.199504083
0.2,0.6,0.5625,1,0.156311564
0.8,0.8,0.5625,1.333333333,0.401742706
0.2,0.8,0.5625,0.666666667,0.148648917
0.2,1,0.5625,1,0.160348531
